t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
680038069,-0.33252,-0.92773,-0.05273,-7.6260,-3.3588,-1.0687,0.60400,-0.84338,0.06763,-25.4504,-12.1908,7.1145
680039068,-0.33203,-0.92664,-0.04834,-8.2672,-3.1069,-0.5573,0.60425,-0.84473,0.06641,-24.6870,-11.6947,7.1145
680040067,-0.33032,-0.93811,-0.04321,-8.5496,-2.8626,-0.1985,0.60400,-0.84692,0.06543,-23.9084,-11.1603,7.1374
680041067,-0.32361,-0.94934,-0.02808,-8.3359,-2.6031,-0.1527,0.60498,-0.85010,0.06604,-23.1374,-10.6031,7.1985
680042065,-0.32031,-0.95483,-0.00891,-8.1832,-2.3817,-0.2443,0.60645,-0.85303,0.06628,-22.3664,-10.0534,7.3130
680043064,-0.31396,-0.95813,0.01416,-8.3969,-2.0611,-0.3435,0.60803,-0.85596,0.06592,-21.5802,-9.4809,7.4427
680044069,-0.30530,-0.96204,0.03735,-8.5496,-1.8855,-0.4962,0.60901,-0.85876,0.06555,-20.8015,-8.8626,7.5725
680045067,-0.30164,-0.96191,0.05115,-8.2748,-2.0534,-0.8244,0.60986,-0.86145,0.06494,-20.0000,-8.2137,7.7252
680046067,-0.30066,-0.95972,0.05664,-7.7176,-2.5115,-1.2290,0.61035,-0.86328,0.06409,-19.1832,-7.5725,7.9466
680047067,-0.29968,-0.96179,0.05444,-7.2061,-3.2061,-1.5420,0.60962,-0.86487,0.06311,-18.3664,-6.9160,8.1985
680048068,-0.30054,-0.96240,0.05127,-6.9771,-4.0992,-1.7023,0.60901,-0.86707,0.06152,-17.5344,-6.2672,8.4885
680049068,-0.30225,-0.96704,0.04553,-6.9771,-4.9389,-1.6947,0.60791,-0.87000,0.05908,-16.6870,-5.6336,8.7710
680050068,-0.30701,-0.96265,0.03564,-7.2366,-5.4275,-1.6565,0.60706,-0.87317,0.05579,-15.8244,-4.9389,9.0534
680051068,-0.31323,-0.93774,0.02319,-7.8779,-5.4885,-1.4962,0.60645,-0.87671,0.05298,-14.9084,-4.2061,9.3359
680052068,-0.31458,-0.91626,0.01172,-8.6794,-5.2061,-1.0763,0.60608,-0.87976,0.05176,-13.9847,-3.4885,9.6183
680053067,-0.31946,-0.91785,0.00098,-9.2137,-4.9466,-0.5954,0.60657,-0.88257,0.05029,-13.0534,-2.7939,9.9084
680054068,-0.32458,-0.93604,-0.01514,-9.1908,-4.7023,-0.3817,0.60669,-0.88501,0.04871,-12.0992,-2.0992,10.1603
680055068,-0.32690,-0.94519,-0.03406,-8.7252,-4.5725,-0.5649,0.60669,-0.88574,0.04688,-11.1145,-1.3740,10.3740
680056068,-0.33020,-0.93042,-0.03821,-8.2366,-4.4427,-1.0153,0.60730,-0.88647,0.04578,-10.1221,-0.6489,10.5496
680057067,-0.32739,-0.89148,-0.02600,-7.9847,-4.1679,-1.4504,0.60718,-0.88770,0.04614,-9.1374,0.0611,10.7176
680058064,-0.32178,-0.86743,-0.01367,-7.8702,-3.8244,-1.4427,0.60742,-0.88904,0.04688,-8.1145,0.7557,10.8931
680059069,-0.31970,-0.89014,-0.00122,-7.5496,-3.4733,-1.1756,0.60889,-0.89001,0.04773,-7.0916,1.4351,11.0382
680060068,-0.31812,-0.92944,0.00574,-6.9695,-3.1527,-1.0916,0.60938,-0.89014,0.04858,-6.0840,2.1450,11.1450
680061068,-0.31958,-0.94312,-0.00623,-6.8168,-3.1221,-1.1756,0.61047,-0.88953,0.04932,-5.1069,2.8779,11.2214
680062067,-0.32068,-0.92493,-0.01318,-7.4198,-3.3053,-1.0992,0.61230,-0.88892,0.04932,-4.1679,3.6260,11.2519
680063068,-0.31433,-0.91113,0.00305,-8.1679,-3.6107,-0.7634,0.61401,-0.88794,0.04834,-3.2519,4.3435,11.2595
680064067,-0.30884,-0.91687,0.02307,-8.3206,-3.9084,-0.4656,0.61584,-0.88684,0.04895,-2.3359,5.0153,11.2214
680065067,-0.31030,-0.93506,0.02771,-8.1298,-4.1298,-0.2977,0.61755,-0.88550,0.05066,-1.4427,5.6870,11.1679
680066067,-0.31470,-0.95251,0.01587,-8.1832,-4.1450,-0.2901,0.61926,-0.88342,0.05261,-0.5878,6.3740,11.1145
680067067,-0.31738,-0.95386,-0.00562,-8.4427,-4.2214,-0.4046,0.62097,-0.87878,0.05408,0.8931,7.6336,10.8321
680068067,-0.31848,-0.93909,-0.01953,-8.3511,-4.4351,-0.7023,0.61975,-0.87561,0.05322,1.5344,8.1603,10.5954
680069067,-0.32117,-0.92700,-0.01782,-7.8779,-4.7863,-0.9389,0.61792,-0.87378,0.05115,2.0840,8.6183,10.3511
680070067,-0.32422,-0.93811,-0.01379,-7.5878,-4.9313,-0.9695,0.61584,-0.87195,0.04883,2.5344,9.0229,10.1145
680071067,-0.32434,-0.95276,-0.00854,-7.5878,-4.5573,-1.0000,0.61426,-0.86902,0.04810,2.8931,9.3664,9.8626
680072065,-0.32361,-0.95398,-0.01123,-7.5267,-3.8931,-1.1450,0.61255,-0.86646,0.04785,3.1679,9.6336,9.5725
680073069,-0.32361,-0.93884,-0.02234,-7.3282,-3.3588,-1.3511,0.61047,-0.86438,0.04773,3.3664,9.8321,9.2901
680074068,-0.32056,-0.92468,-0.02563,-7.2443,-3.1069,-1.3588,0.60815,-0.86243,0.04834,3.4962,9.9771,9.0000
680075067,-0.31299,-0.92700,-0.01257,-7.5038,-3.0763,-1.1679,0.60535,-0.86133,0.04846,3.5649,10.0687,8.6641
680076068,-0.30725,-0.92944,0.00513,-7.9084,-3.2290,-1.0000,0.60315,-0.86072,0.04785,3.6183,10.1069,8.3053
680077068,-0.30933,-0.92725,0.01062,-7.9237,-3.5115,-0.9466,0.60156,-0.85925,0.04858,3.6183,10.0992,7.9542
680078068,-0.31274,-0.93542,0.01001,-7.6794,-3.7405,-0.8550,0.59961,-0.85815,0.04968,3.5802,10.0382,7.6183
680079067,-0.30969,-0.95312,0.01428,-7.7176,-3.8168,-0.7405,0.59717,-0.85742,0.04968,3.5344,9.9618,7.2901
680080067,-0.30957,-0.94836,0.01428,-8.0534,-4.0382,-0.7634,0.59497,-0.85791,0.05017,3.4885,9.8702,6.9771
680081067,-0.31042,-0.92969,0.01050,-8.3053,-4.2672,-0.7557,0.59277,-0.85779,0.05151,3.3740,9.6718,6.6183
