t_us,m1_ax_g,m1_ay_g,m1_az_g,m1_gx_dps,m1_gy_dps,m1_gz_dps,m2_ax_g,m2_ay_g,m2_az_g,m2_gx_dps,m2_gy_dps,m2_gz_dps
132032770,0.08313,-0.92957,-0.14966,-10.3359,11.2061,-7.3740,0.67212,-0.80884,0.04675,-0.9542,-2.5573,-2.4275
132033770,0.08423,-0.89661,-0.11633,-10.2595,11.6870,-7.4198,0.67200,-0.80847,0.04602,-0.9695,-2.4351,-2.3282
132034770,0.09241,-0.87805,-0.07605,-10.0687,11.8855,-7.2672,0.67200,-0.80786,0.04504,-0.9847,-2.3130,-2.1832
132035770,0.10144,-0.87646,-0.04944,-9.7557,11.6718,-6.9618,0.67212,-0.80676,0.04358,-1.0076,-2.2214,-2.0305
132036770,0.10864,-0.88257,-0.02698,-9.3206,11.2595,-6.6565,0.67200,-0.80554,0.04138,-1.0458,-2.1298,-1.8855
132037771,0.11633,-0.88269,-0.00354,-8.9389,10.6641,-6.3740,0.67053,-0.80420,0.04016,-1.0763,-2.0611,-1.7634
132038770,0.11511,-0.87585,0.00061,-8.6870,9.7023,-6.0229,0.66931,-0.80383,0.04041,-1.0840,-2.0153,-1.6336
132039770,0.11023,-0.86963,-0.00525,-8.4733,8.8168,-5.5573,0.66907,-0.80286,0.04150,-1.0992,-1.9466,-1.5191
132040770,0.11157,-0.87134,0.00378,-8.3893,8.1832,-4.9771,0.66858,-0.80139,0.04272,-1.1450,-1.8779,-1.4046
132041770,0.11475,-0.88196,0.01477,-8.6412,7.5496,-4.3588,0.66846,-0.80054,0.04346,-1.2061,-1.8092,-1.3053
132042770,0.11670,-0.89673,0.00586,-9.1908,6.8626,-3.8321,0.66541,-0.79932,0.04309,-1.2214,-1.6336,-1.0534
132043770,0.11719,-0.90637,-0.00098,-9.7634,6.4046,-3.4885,0.66394,-0.79895,0.04321,-1.2519,-1.5649,-0.9237
132044770,0.12195,-0.90723,0.01160,-10.2290,6.1221,-3.2672,0.66309,-0.80017,0.04468,-1.2977,-1.5191,-0.7939
132045771,0.13086,-0.91284,0.01697,-10.5191,5.6718,-3.0229,0.66235,-0.80103,0.04382,-1.3053,-1.4885,-0.6947
132046771,0.13513,-0.93176,0.01038,-10.5038,5.1298,-2.8015,0.66040,-0.80005,0.04138,-1.3130,-1.4656,-0.6260
132047770,0.13843,-0.94910,0.01636,-10.1832,4.7786,-2.8321,0.65796,-0.79846,0.03906,-1.3053,-1.4427,-0.5496
132048770,0.13928,-0.94666,0.02490,-9.7405,4.3206,-3.1145,0.65637,-0.79675,0.03735,-1.3053,-1.4275,-0.4656
132049770,0.12756,-0.92505,0.01514,-9.2977,3.6947,-3.4046,0.65405,-0.79578,0.03577,-1.3206,-1.4198,-0.4046
132050770,0.11755,-0.90527,-0.00757,-8.8931,3.1069,-3.4351,0.65186,-0.79541,0.03516,-1.3511,-1.4427,-0.3435
132051771,0.11243,-0.91248,-0.03491,-8.4885,2.6260,-3.1679,0.65112,-0.79492,0.03442,-1.3511,-1.4656,-0.3053
132052770,0.10400,-0.93103,-0.05493,-8.2519,2.3282,-2.9618,0.65161,-0.79480,0.03186,-1.3511,-1.4656,-0.2672
132053770,0.09839,-0.92212,-0.06030,-8.2290,2.2901,-3.0382,0.65198,-0.79480,0.03088,-1.3130,-1.4733,-0.2214
132054770,0.09741,-0.89600,-0.05420,-8.2290,2.3588,-3.0229,0.65088,-0.79407,0.03210,-1.2748,-1.4885,-0.1908
132055770,0.09802,-0.88611,-0.04773,-8.2214,2.3588,-2.6031,0.65039,-0.79309,0.03308,-1.2595,-1.5191,-0.1756
132056770,0.09973,-0.88745,-0.04492,-8.4885,2.2748,-2.0534,0.65051,-0.79248,0.03296,-1.2443,-1.5725,-0.1832
132057770,0.10327,-0.87939,-0.04529,-9.1603,2.1527,-1.5725,0.65051,-0.79150,0.03137,-1.2366,-1.6336,-0.2061
132058770,0.10706,-0.87671,-0.04749,-9.6947,1.9542,-1.0305,0.65027,-0.79077,0.03076,-1.2443,-1.7099,-0.2290
132059770,0.11108,-0.89343,-0.05176,-9.6870,1.6718,-0.5115,0.64978,-0.78992,0.03076,-1.2519,-1.7710,-0.2290
132060770,0.11829,-0.91296,-0.04932,-9.3359,1.4580,-0.2672,0.64929,-0.78870,0.03015,-1.2519,-1.8473,-0.2519
132061770,0.12671,-0.91760,-0.02905,-9.1221,1.2977,-0.2977,0.64844,-0.78784,0.02954,-1.2519,-1.9237,-0.2595
132062770,0.13220,-0.90283,-0.00574,-9.1374,0.9847,-0.3969,0.64673,-0.78662,0.02942,-1.2672,-2.0229,-0.2672
132063770,0.13379,-0.87866,-0.00464,-9.0763,0.4275,-0.4733,0.64539,-0.78638,0.03040,-1.2901,-2.0916,-0.2824
132064770,0.13074,-0.86365,-0.02295,-8.6718,-0.1756,-0.4656,0.64417,-0.78674,0.02966,-1.3282,-2.1450,-0.3588
132065770,0.12537,-0.85974,-0.04199,-8.0916,-0.7099,-0.4962,0.64355,-0.78613,0.02747,-1.3817,-2.1832,-0.4427
132066770,0.12378,-0.85364,-0.05103,-7.5878,-1.1298,-0.5802,0.64343,-0.78613,0.02795,-1.4351,-2.2214,-0.5038
